,year,boat_type,section_code,race_number,order,team,500m,1000m,1500m,2000m,lane,qualify
166,2000,w4+,敗復B組,62,,,,,,,6,
167,2000,w4+,敗復B組,62,,,,,,,6,
168,2000,w4+,敗復C組,63,,,,,,,6,
169,2000,w4+,敗復C組,63,,,,,,,6,
170,2000,w4+,敗復C組,63,,,,,,,6,
171,2000,w4+,敗復C組,63,,,,,,,6,
172,2000,w4+,敗復C組,63,,,,,,,6,
173,2000,w4+,敗復C組,63,,,,,,,6,
174,2000,w4+,敗復D組,64,,,,,,,6,
175,2000,w4+,敗復D組,64,,,,,,,6,
176,2000,w4+,敗復D組,64,,,,,,,6,
177,2000,w4+,敗復D組,64,,,,,,,6,
178,2000,w4+,敗復D組,64,,,,,,,6,
179,2000,w4+,敗復D組,64,,,,,,,6,
180,2000,w4+,準決A組,127,,,,,,,6,
181,2000,w4+,準決A組,127,,,,,,,6,
182,2000,w4+,準決A組,127,,,,,,,6,
183,2000,w4+,準決A組,127,,,,,,,6,
184,2000,w4+,準決A組,127,,,,,,,6,
185,2000,w4+,準決A組,127,,,,,,,6,
186,2000,w4+,準決B組,128,,,,,,,6,
187,2000,w4+,準決B組,128,,,,,,,6,
188,2000,w4+,準決B組,128,,,,,,,6,
189,2000,w4+,準決B組,128,,,,,,,6,
190,2000,w4+,準決B組,128,,,,,,,6,
191,2000,w4+,準決B組,128,,,,,,,6,
192,2000,w4+,順決,166,,,,,,,6,
193,2000,w4+,順決,166,,,,,,,6,
194,2000,w4+,順決,166,,,,,,,6,
195,2000,w4+,順決,166,,,,,,,6,
196,2000,w4+,順決,166,,,,,,,6,
197,2000,w4+,順決,166,,,,,,,6,
198,2000,w4+,決勝,167,,,,,,,6,
199,2000,w4+,決勝,167,,,,,,,6,
200,2000,w4+,決勝,167,,,,,,,6,
201,2000,w4+,決勝,167,,,,,,,6,
202,2000,w4+,決勝,167,,,,,,,6,
203,2000,w4+,決勝,167,,,,,,,6,
204,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
205,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
206,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
207,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
208,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
209,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
210,2000,m2x,予選B組,20,6,島根大学,02:00.01,04:07.47,06:15.94,08:22.63,2,
211,2000,m2x,予選B組,20,6,島根大学,02:00.01,04:07.47,06:15.94,08:22.63,2,
212,2000,m2x,予選B組,20,6,島根大学,02:00.01,04:07.47,06:15.94,08:22.63,2,
213,2000,m2x,予選B組,20,6,島根大学,02:00.01,04:07.47,06:15.94,08:22.63,2,
214,2000,m2x,予選B組,20,6,島根大学,02:00.01,04:07.47,06:15.94,08:22.63,2,
215,2000,m2x,予選B組,20,6,島根大学,02:00.01,04:07.47,06:15.94,08:22.63,2,
216,2000,m2x,予選C組,21,6,名古屋大学,02:11.86,04:27.46,06:46.23,09:03.06,6,
217,2000,m2x,予選C組,21,6,名古屋大学,02:11.86,04:27.46,06:46.23,09:03.06,6,
218,2000,m2x,予選C組,21,6,名古屋大学,02:11.86,04:27.46,06:46.23,09:03.06,6,
219,2000,m2x,予選C組,21,6,名古屋大学,02:11.86,04:27.46,06:46.23,09:03.06,6,
220,2000,m2x,予選C組,21,6,名古屋大学,02:11.86,04:27.46,06:46.23,09:03.06,6,
221,2000,m2x,予選C組,21,6,名古屋大学,02:11.86,04:27.46,06:46.23,09:03.06,6,
222,2000,m2x,予選D組,22,6,甲南大学,01:55.63,03:59.15,06:06.66,08:15.41,4,
223,2000,m2x,予選D組,22,6,甲南大学,01:55.63,03:59.15,06:06.66,08:15.41,4,
224,2000,m2x,予選D組,22,6,甲南大学,01:55.63,03:59.15,06:06.66,08:15.41,4,
225,2000,m2x,予選D組,22,6,甲南大学,01:55.63,03:59.15,06:06.66,08:15.41,4,
226,2000,m2x,予選D組,22,6,甲南大学,01:55.63,03:59.15,06:06.66,08:15.41,4,
227,2000,m2x,予選D組,22,6,甲南大学,01:55.63,03:59.15,06:06.66,08:15.41,4,
228,2000,m2x,予選E組,23,6,東京大学,01:57.78,04:00.10,06:05.58,08:09.23,6,
229,2000,m2x,予選E組,23,6,東京大学,01:57.78,04:00.10,06:05.58,08:09.23,6,
230,2000,m2x,予選E組,23,6,東京大学,01:57.78,04:00.10,06:05.58,08:09.23,6,
231,2000,m2x,予選E組,23,6,東京大学,01:57.78,04:00.10,06:05.58,08:09.23,6,
232,2000,m2x,予選E組,23,6,東京大学,01:57.78,04:00.10,06:05.58,08:09.23,6,
233,2000,m2x,予選E組,23,6,東京大学,01:57.78,04:00.10,06:05.58,08:09.23,6,
234,2000,m2x,予選F組,24,6,創価大学,02:13.91,04:40.64,07:10.58,09:43.79,6,
235,2000,m2x,予選F組,24,6,創価大学,02:13.91,04:40.64,07:10.58,09:43.79,6,
236,2000,m2x,予選F組,24,6,創価大学,02:13.91,04:40.64,07:10.58,09:43.79,6,
237,2000,m2x,予選F組,24,6,創価大学,02:13.91,04:40.64,07:10.58,09:43.79,6,
238,2000,m2x,予選F組,24,6,創価大学,02:13.91,04:40.64,07:10.58,09:43.79,6,
239,2000,m2x,予選F組,24,6,創価大学,02:13.91,04:40.64,07:10.58,09:43.79,6,
240,2000,m2x,予選G組,25,,,,,,,6,
241,2000,m2x,予選G組,25,,,,,,,6,
242,2000,m2x,予選G組,25,,,,,,,6,
243,2000,m2x,予選G組,25,,,,,,,6,
244,2000,m2x,予選G組,25,,,,,,,6,
245,2000,m2x,予選G組,25,,,,,,,6,
246,2000,m2x,予選H組,26,,,,,,,6,
247,2000,m2x,予選H組,26,,,,,,,6,
248,2000,m2x,予選H組,26,,,,,,,6,
249,2000,m2x,予選H組,26,,,,,,,6,
250,2000,m2x,予選H組,26,,,,,,,6,
251,2000,m2x,予選H組,26,,,,,,,6,
252,2000,m2x,敗復A組,78,,,,,,,6,
253,2000,m2x,敗復A組,78,,,,,,,6,
254,2000,m2x,敗復A組,78,,,,,,,6,
255,2000,m2x,敗復A組,78,,,,,,,6,
256,2000,m2x,敗復A組,78,,,,,,,6,
257,2000,m2x,敗復A組,78,,,,,,,6,
258,2000,m2x,敗復B組,79,,,,,,,6,
259,2000,m2x,敗復B組,79,,,,,,,6,
260,2000,m2x,敗復B組,79,,,,,,,6,
261,2000,m2x,敗復B組,79,,,,,,,6,
262,2000,m2x,敗復B組,79,,,,,,,6,
263,2000,m2x,敗復B組,79,,,,,,,6,
264,2000,m2x,敗復C組,80,,,,,,,6,
265,2000,m2x,敗復C組,80,,,,,,,6,
266,2000,m2x,敗復C組,80,,,,,,,6,
267,2000,m2x,敗復C組,80,,,,,,,6,
268,2000,m2x,敗復C組,80,,,,,,,6,
269,2000,m2x,敗復C組,80,,,,,,,6,
270,2000,m2x,敗復D組,81,,,,,,,6,
271,2000,m2x,敗復D組,81,,,,,,,6,
272,2000,m2x,敗復D組,81,,,,,,,6,
273,2000,m2x,敗復D組,81,,,,,,,6,
274,2000,m2x,敗復D組,81,,,,,,,6,
275,2000,m2x,敗復D組,81,,,,,,,6,
276,2000,m2x,敗復E組,82,,,,,,,6,
277,2000,m2x,敗復E組,82,,,,,,,6,
278,2000,m2x,敗復E組,82,,,,,,,6,
279,2000,m2x,敗復E組,82,,,,,,,6,
280,2000,m2x,敗復E組,82,,,,,,,6,
281,2000,m2x,敗復E組,82,,,,,,,6,
282,2000,m2x,敗復F組,83,,,,,,,6,
283,2000,m2x,敗復F組,83,,,,,,,6,
284,2000,m2x,敗復F組,83,,,,,,,6,
285,2000,m2x,敗復F組,83,,,,,,,6,
286,2000,m2x,敗復F組,83,,,,,,,6,
287,2000,m2x,敗復F組,83,,,,,,,6,
288,2000,m2x,敗復G組,84,,,,,,,6,
289,2000,m2x,敗復G組,84,,,,,,,6,
290,2000,m2x,敗復G組,84,,,,,,,6,
291,2000,m2x,敗復G組,84,,,,,,,6,
292,2000,m2x,敗復G組,84,,,,,,,6,
293,2000,m2x,敗復G組,84,,,,,,,6,
294,2000,m2x,敗復H組,85,,,,,,,6,
295,2000,m2x,敗復H組,85,,,,,,,6,
296,2000,m2x,敗復H組,85,,,,,,,6,
297,2000,m2x,敗復H組,85,,,,,,,6,
298,2000,m2x,敗復H組,85,,,,,,,6,
299,2000,m2x,敗復H組,85,,,,,,,6,
300,2000,m2x,準決A組,137,,,,,,,6,
301,2000,m2x,準決A組,137,,,,,,,6,
302,2000,m2x,準決A組,137,,,,,,,6,
303,2000,m2x,準決A組,137,,,,,,,6,
304,2000,m2x,準決A組,137,,,,,,,6,
305,2000,m2x,準決A組,137,,,,,,,6,
306,2000,m2x,準決B組,138,,,,,,,6,
307,2000,m2x,準決B組,138,,,,,,,6,
308,2000,m2x,準決B組,138,,,,,,,6,
309,2000,m2x,準決B組,138,,,,,,,6,
310,2000,m2x,準決B組,138,,,,,,,6,
311,2000,m2x,準決B組,138,,,,,,,6,
312,2000,m2x,準決C組,139,,,,,,,6,
313,2000,m2x,準決C組,139,,,,,,,6,
314,2000,m2x,準決C組,139,,,,,,,6,
315,2000,m2x,準決C組,139,,,,,,,6,
316,2000,m2x,準決C組,139,,,,,,,6,
317,2000,m2x,準決C組,139,,,,,,,6,
318,2000,m2x,準決D組,140,,,,,,,6,
319,2000,m2x,準決D組,140,,,,,,,6,
320,2000,m2x,準決D組,140,,,,,,,6,
321,2000,m2x,準決D組,140,,,,,,,6,
322,2000,m2x,準決D組,140,,,,,,,6,
323,2000,m2x,準決D組,140,,,,,,,6,
324,2000,m2x,順決,172,,,,,,,6,
325,2000,m2x,順決,172,,,,,,,6,
326,2000,m2x,順決,172,,,,,,,6,
327,2000,m2x,順決,172,,,,,,,6,
328,2000,m2x,順決,172,,,,,,,6,
329,2000,m2x,順決,172,,,,,,,6,
330,2000,m2x,決勝,173,,,,,,,6,
331,2000,m2x,決勝,173,,,,,,,6,
332,2000,m2x,決勝,173,,,,,,,6,
333,2000,m2x,決勝,173,,,,,,,6,
334,2000,m2x,決勝,173,,,,,,,6,
335,2000,m2x,決勝,173,,,,,,,6,
336,2000,w2x,予選A組,13,,,,,,,6,
337,2000,w2x,予選A組,13,,,,,,,6,
338,2000,w2x,予選A組,13,,,,,,,6,
339,2000,w2x,予選A組,13,,,,,,,6,
340,2000,w2x,予選A組,13,,,,,,,6,
341,2000,w2x,予選A組,13,,,,,,,6,
342,2000,w2x,予選B組,14,,,,,,,6,
343,2000,w2x,予選B組,14,,,,,,,6,
344,2000,w2x,予選B組,14,,,,,,,6,
345,2000,w2x,予選B組,14,,,,,,,6,
346,2000,w2x,予選B組,14,,,,,,,6,
347,2000,w2x,予選B組,14,,,,,,,6,
348,2000,w2x,予選C組,15,,,,,,,6,
349,2000,w2x,予選C組,15,,,,,,,6,
350,2000,w2x,予選C組,15,,,,,,,6,
351,2000,w2x,予選C組,15,,,,,,,6,
352,2000,w2x,予選C組,15,,,,,,,6,
353,2000,w2x,予選C組,15,,,,,,,6,
354,2000,w2x,予選D組,16,,,,,,,6,
355,2000,w2x,予選D組,16,,,,,,,6,
356,2000,w2x,予選D組,16,,,,,,,6,
357,2000,w2x,予選D組,16,,,,,,,6,
358,2000,w2x,予選D組,16,,,,,,,6,
359,2000,w2x,予選D組,16,,,,,,,6,
360,2000,w2x,予選E組,17,,,,,,,6,
361,2000,w2x,予選E組,17,,,,,,,6,
362,2000,w2x,予選E組,17,,,,,,,6,
363,2000,w2x,予選E組,17,,,,,,,6,
364,2000,w2x,予選E組,17,,,,,,,6,
365,2000,w2x,予選E組,17,,,,,,,6,
366,2000,w2x,予選F組,18,,,,,,,6,
367,2000,w2x,予選F組,18,,,,,,,6,
368,2000,w2x,予選F組,18,,,,,,,6,
369,2000,w2x,予選F組,18,,,,,,,6,
370,2000,w2x,予選F組,18,,,,,,,6,
371,2000,w2x,予選F組,18,,,,,,,6,
372,2000,w2x,敗復A組,73,,,,,,,6,
373,2000,w2x,敗復A組,73,,,,,,,6,
374,2000,w2x,敗復A組,73,,,,,,,6,
375,2000,w2x,敗復A組,73,,,,,,,6,
376,2000,w2x,敗復A組,73,,,,,,,6,
377,2000,w2x,敗復A組,73,,,,,,,6,
378,2000,w2x,敗復B組,74,,,,,,,6,
379,2000,w2x,敗復B組,74,,,,,,,6,
380,2000,w2x,敗復B組,74,,,,,,,6,
381,2000,w2x,敗復B組,74,,,,,,,6,
382,2000,w2x,敗復B組,74,,,,,,,6,
383,2000,w2x,敗復B組,74,,,,,,,6,
384,2000,w2x,敗復C組,75,,,,,,,6,
385,2000,w2x,敗復C組,75,,,,,,,6,
386,2000,w2x,敗復C組,75,,,,,,,6,
387,2000,w2x,敗復C組,75,,,,,,,6,
388,2000,w2x,敗復C組,75,,,,,,,6,
389,2000,w2x,敗復C組,75,,,,,,,6,
390,2000,w2x,敗復D組,76,,,,,,,6,
391,2000,w2x,敗復D組,76,,,,,,,6,
392,2000,w2x,敗復D組,76,,,,,,,6,
393,2000,w2x,敗復D組,76,,,,,,,6,
394,2000,w2x,敗復D組,76,,,,,,,6,
395,2000,w2x,敗復D組,76,,,,,,,6,
396,2000,w2x,敗復E組,77,,,,,,,6,
397,2000,w2x,敗復E組,77,,,,,,,6,
398,2000,w2x,敗復E組,77,,,,,,,6,
399,2000,w2x,敗復E組,77,,,,,,,6,
400,2000,w2x,敗復E組,77,,,,,,,6,
401,2000,w2x,敗復E組,77,,,,,,,6,
402,2000,w2x,準決A組,133,,,,,,,6,
403,2000,w2x,準決A組,133,,,,,,,6,
404,2000,w2x,準決A組,133,,,,,,,6,
405,2000,w2x,準決A組,133,,,,,,,6,
406,2000,w2x,準決A組,133,,,,,,,6,
407,2000,w2x,準決A組,133,,,,,,,6,
408,2000,w2x,準決B組,134,,,,,,,6,
409,2000,w2x,準決B組,134,,,,,,,6,
410,2000,w2x,準決B組,134,,,,,,,6,
411,2000,w2x,準決B組,134,,,,,,,6,
412,2000,w2x,準決B組,134,,,,,,,6,
413,2000,w2x,準決B組,134,,,,,,,6,
414,2000,w2x,準決C組,135,,,,,,,6,
415,2000,w2x,準決C組,135,,,,,,,6,
416,2000,w2x,準決C組,135,,,,,,,6,
417,2000,w2x,準決C組,135,,,,,,,6,
418,2000,w2x,準決C組,135,,,,,,,6,
419,2000,w2x,準決C組,135,,,,,,,6,
420,2000,w2x,準決D組,136,,,,,,,6,
421,2000,w2x,準決D組,136,,,,,,,6,
422,2000,w2x,準決D組,136,,,,,,,6,
423,2000,w2x,準決D組,136,,,,,,,6,
424,2000,w2x,準決D組,136,,,,,,,6,
425,2000,w2x,準決D組,136,,,,,,,6,
426,2000,w2x,順決,170,,,,,,,6,
427,2000,w2x,順決,170,,,,,,,6,
428,2000,w2x,順決,170,,,,,,,6,
429,2000,w2x,順決,170,,,,,,,6,
430,2000,w2x,順決,170,,,,,,,6,
431,2000,w2x,順決,170,,,,,,,6,
432,2000,w2x,決勝,171,,,,,,,6,
433,2000,w2x,決勝,171,,,,,,,6,
