,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
225,2001,114,m2x,決勝,5,美方高校,110.4,225.75,341.88,460.53,4,
228,2001,1,w2x,予選A組,4,早稲田大学,109.16,225.54,341.09,456.25,1,->Semi-Final
229,2001,1,w2x,予選A組,2,美方高校,115.0,235.64,357.11,479.67,2,
230,2001,1,w2x,予選A組,1,一橋大学,117.45,239.86,362.99,487.74,3,
231,2001,1,w2x,予選A組,5,大垣共立銀行B,117.04,242.41,372.24,502.44,4,
232,2001,1,w2x,予選A組,3,東京医科歯科大学,119.4,246.17,377.28,513.24,5,
234,2001,2,w2x,予選B組,1,明治生命,108.22,224.19,341.86,458.77,1,->Semi-Final
235,2001,2,w2x,予選B組,3,龍谷大学B,115.35,236.04,356.96,474.69,2,
236,2001,2,w2x,予選B組,2,鹿屋体育大学,119.79,240.44,358.61,475.51,3,
237,2001,2,w2x,予選B組,5,北海道大学A,117.8,239.25,360.54,481.0,4,
238,2001,2,w2x,予選B組,4,慶應義塾大学,127.38,266.97,412.81,554.15,5,
240,2001,3,w2x,予選C組,1,東京経済大学,112.68,229.51,349.96,468.06,1,->Semi-Final
241,2001,3,w2x,予選C組,4,大垣共立銀行A,115.21,236.51,358.18,476.34,2,
242,2001,3,w2x,予選C組,3,立命館大学,120.74,247.16,376.78,501.87,3,
243,2001,3,w2x,予選C組,2,千葉大学園芸学部,125.28,256.68,391.99,528.24,4,
244,2001,3,w2x,予選C組,5,北海道大学B,128.64,263.61,407.16,549.77,5,
246,2001,4,w2x,予選D組,4,龍谷大学A,112.7,224.86,346.57,463.4,1,->Semi-Final
247,2001,4,w2x,予選D組,1,明治大学,113.1,231.69,353.43,474.22,2,
248,2001,4,w2x,予選D組,5,日本体育大学,118.11,242.04,367.19,491.13,3,
249,2001,4,w2x,予選D組,3,新潟大学,120.59,245.38,371.52,498.09,4,
250,2001,4,w2x,予選D組,2,桜宮高校,118.57,244.64,374.28,504.33,5,
252,2001,48,w2x,敗復A組,3,大垣共立銀行A,113.84,232.94,355.67,477.66,1,->Semi-Final
253,2001,48,w2x,敗復A組,4,美方高校,112.96,233.99,358.16,481.54,2,
254,2001,48,w2x,敗復A組,5,東京医科歯科大学,120.61,246.17,374.31,502.59,3,
255,2001,48,w2x,敗復A組,2,桜宮高校,119.86,246.73,377.24,508.47,4,
258,2001,49,w2x,敗復B組,3,鹿屋体育大学,118.2,235.92,352.43,469.93,1,->Semi-Final
259,2001,49,w2x,敗復B組,4,北海道大学A,118.79,239.82,361.09,482.74,2,
260,2001,49,w2x,敗復B組,2,大垣共立銀行B,116.19,243.59,373.67,502.41,3,
261,2001,49,w2x,敗復B組,5,千葉大学園芸学部,124.63,251.58,381.61,513.21,4,
264,2001,50,w2x,敗復C組,3,龍谷大学B,117.02,237.17,357.56,478.68,1,->Semi-Final
265,2001,50,w2x,敗復C組,4,一橋大学,118.02,239.53,362.61,487.24,2,
266,2001,50,w2x,敗復C組,2,立命館大学,124.71,250.67,377.6,501.8,3,
267,2001,50,w2x,敗復C組,5,北海道大学B,128.87,265.64,401.63,536.39,4,
270,2001,51,w2x,敗復D組,3,明治大学,110.62,231.36,352.31,471.34,1,->Semi-Final
271,2001,51,w2x,敗復D組,4,日本体育大学,118.41,243.65,367.99,493.33,2,
272,2001,51,w2x,敗復D組,2,新潟大学,121.72,249.63,377.16,503.1,3,
273,2001,51,w2x,敗復D組,5,慶應義塾大学,127.34,267.36,409.29,549.01,4,
276,2001,90,w2x,準決A組,3,明治生命,115.14,240.01,369.76,498.86,1,->Final A
277,2001,90,w2x,準決A組,4,龍谷大学A,119.66,243.5,372.01,502.63,2,->Final A
278,2001,90,w2x,準決A組,2,鹿屋体育大学,127.27,255.25,383.2,513.77,3,->Final B
279,2001,90,w2x,準決A組,5,龍谷大学B,123.02,252.79,388.06,524.97,4,->Final B
282,2001,91,w2x,準決B組,3,早稲田大学,116.14,239.47,370.09,507.16,1,->Final A
283,2001,91,w2x,準決B組,4,東京経済大学,118.81,244.4,376.41,508.89,2,->Final A
284,2001,91,w2x,準決B組,2,明治大学,121.84,249.4,384.03,517.2,3,->Final B
285,2001,91,w2x,準決B組,5,大垣共立銀行A,124.2,256.61,394.52,530.66,4,->Final B
288,2001,111,w2x,順決,3,鹿屋体育大学,124.94,250.21,375.25,499.95,1,
289,2001,111,w2x,順決,4,明治大学,122.34,249.44,378.57,507.51,2,
290,2001,111,w2x,順決,2,龍谷大学B,122.97,251.4,381.59,509.94,3,
291,2001,111,w2x,順決,5,大垣共立銀行A,123.85,252.89,383.61,511.9,4,
294,2001,112,w2x,決勝,3,明治生命,114.98,234.99,356.29,477.94,1,
