year,nace_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,500m(s),1000m(s),1500m(s),2000m(s),order,qualify
2012,122,m2x,決勝,5,関西電力美浜,01:35.88,03:18.66,05:02.24,06:50.41,95.88,198.66,302.24,410.40999999999997,3,
2012,122,m2x,決勝,2,加茂高校,01:38.46,03:22.08,05:07.73,06:53.42,98.46000000000001,202.07999999999998,307.73,413.42,4,
2012,27,w2x,予選A組,2,仙台大学,01:52.20,03:55.04,06:01.07,08:06.40,112.2,235.04,361.07,486.4,1,→Semi-Final
2012,27,w2x,予選A組,1,立命館大学,01:55.91,03:59.59,06:05.00,08:11.53,115.91,239.59,365.0,491.53,2,
2012,27,w2x,予選A組,6,東京経済大学A,01:59.61,04:06.82,06:13.76,08:23.79,119.61,246.82,373.76,503.79,3,
2012,27,w2x,予選A組,4,名古屋大学A,02:04.32,04:14.40,06:22.96,08:33.96,124.32,254.4,382.96,513.96,4,
2012,27,w2x,予選A組,3,学習院大学A,02:20.51,04:47.00,07:13.17,09:34.31,140.51,287.0,433.17,574.31,5,
2012,27,w2x,予選A組,5,大阪府立大学,02:23.30,04:49.60,07:17.58,09:40.84,143.3,289.6,437.58,580.84,6,
2012,28,w2x,予選B組,4,熊本学園大学付属高校,01:55.75,04:00.49,06:07.87,08:14.15,115.75,240.49,367.87,494.15,1,→Semi-Final
2012,28,w2x,予選B組,2,龍谷大学B,02:01.29,04:10.77,06:22.36,08:34.49,121.29,250.77,382.36,514.49,2,
2012,28,w2x,予選B組,5,トヨタ自動車,01:59.54,04:10.39,06:25.68,08:39.22,119.53999999999999,250.39,385.68,519.22,3,
2012,28,w2x,予選B組,6,京都大学,02:02.05,04:16.04,06:28.34,08:44.55,122.05,256.04,388.34,524.55,4,
2012,28,w2x,予選B組,3,東京医科歯科大学,02:05.38,04:20.78,06:39.78,09:00.17,125.38,260.78,399.78,540.17,5,
2012,28,w2x,予選B組,1,金沢大学,02:12.16,04:34.49,07:01.04,09:22.70,132.16,274.49,421.04,562.7,6,
2012,29,w2x,予選C組,1,岐阜経済大学,01:50.52,03:50.51,05:55.66,07:57.04,110.52000000000001,230.51,355.65999999999997,477.04,1,→Semi-Final
2012,29,w2x,予選C組,5,大垣共立銀行,01:52.68,03:49.82,05:54.56,07:58.91,112.68,229.82,354.56,478.90999999999997,2,
2012,29,w2x,予選C組,3,龍谷大学A,01:55.58,04:00.57,06:08.72,08:13.28,115.58,240.57,368.72,493.28,3,
2012,29,w2x,予選C組,2,法政大学,01:56.71,03:58.84,06:07.48,08:14.61,116.71000000000001,238.84,367.48,494.61,4,
2012,29,w2x,予選C組,6,滋賀大学経済学部,02:16.71,04:36.43,06:58.66,09:17.07,136.71,276.43,418.65999999999997,557.07,5,
2012,30,w2x,予選D組,6,明治大学B,02:05.34,04:10.00,06:21.22,08:30.57,125.34,250.0,381.22,510.57,1,→Semi-Final
2012,30,w2x,予選D組,2,鹿屋体育大学,02:08.31,04:16.27,06:28.67,08:38.06,128.31,256.27,388.67,518.06,2,
2012,30,w2x,予選D組,3,山口大学,02:17.50,04:18.29,06:31.90,08:47.73,137.5,258.29,391.9,527.73,3,
2012,30,w2x,予選D組,5,北海道大学,02:06.57,04:22.54,06:43.36,09:02.19,126.57,262.54,403.36,542.19,4,
2012,30,w2x,予選D組,1,一橋大学C,02:22.45,04:37.90,06:59.83,09:18.91,142.45,277.9,419.83,558.91,5,
2012,30,w2x,予選D組,4,今治西高校C,02:24.06,04:47.33,07:13.66,09:38.79,144.06,287.33,433.66,578.79,6,
2012,31,w2x,予選E組,2,立教大学,01:59.93,04:02.20,06:05.29,08:13.05,119.93,242.2,365.29,493.05,1,→Semi-Final
2012,31,w2x,予選E組,6,早稲田大学,02:00.29,04:06.28,06:14.34,08:25.76,120.29,246.28,374.34,505.76,2,
2012,31,w2x,予選E組,5,阿賀黎明高校,02:04.15,04:11.40,06:18.84,08:29.03,124.15,251.4,378.84,509.03,3,
2012,31,w2x,予選E組,3,中央大学,02:04.79,04:13.86,06:24.67,08:37.29,124.79,253.86,384.67,517.29,4,
2012,31,w2x,予選E組,1,慶應義塾大学B,02:21.16,04:48.12,07:14.79,09:43.84,141.16,288.12,434.79,583.84,5,
2012,31,w2x,予選E組,4,東北大学B,02:28.66,04:58.60,07:21.48,09:50.37,148.66,298.6,441.48,590.37,6,
2012,32,w2x,予選F組,3,東京経済大学B,02:01.41,04:10.36,06:19.33,08:30.55,121.41,250.36,379.33,510.55,1,→Semi-Final
2012,32,w2x,予選F組,4,一橋大学B,02:10.70,04:27.19,06:46.65,09:05.96,130.7,267.19,406.65,545.96,2,
2012,32,w2x,予選F組,2,筑波大学B,02:17.14,04:33.41,06:51.33,09:08.53,137.14,273.40999999999997,411.33,548.53,3,
2012,32,w2x,予選F組,5,新潟大学,02:20.78,04:40.70,07:02.81,09:24.29,140.78,280.7,422.81,564.29,4,
2012,32,w2x,予選F組,6,名古屋大学B,02:22.43,04:44.96,07:09.17,09:30.72,142.43,284.96,429.17,570.72,5,
2012,32,w2x,予選F組,1,学習院大学B,02:29.32,05:03.95,07:45.21,10:24.21,149.32,303.95,465.21,24.21,6,
2012,33,w2x,予選G組,6,関西電力小浜,01:53.53,03:49.39,05:51.60,07:50.59,113.53,229.39,351.6,470.59000000000003,1,→Semi-Final
2012,33,w2x,予選G組,1,明治大学A,01:57.55,03:58.95,06:05.74,08:10.08,117.55,238.95,365.74,490.08,2,
2012,33,w2x,予選G組,4,今治西高校B,02:00.24,04:05.39,06:13.93,08:20.35,120.24,245.39,373.93,500.35,3,
2012,33,w2x,予選G組,3,慶應義塾大学A,02:00.49,04:05.76,06:16.00,08:22.12,120.49,245.76,376.0,502.12,4,
2012,33,w2x,予選G組,5,龍谷大学C,02:03.19,04:11.13,06:24.46,08:32.53,123.19,251.13,384.46,512.53,5,
2012,33,w2x,予選G組,2,東北大学A,02:03.01,04:14.43,06:32.76,08:44.07,123.01,254.43,392.76,524.07,6,
2012,34,w2x,予選H組,1,日本体育大学,01:53.77,03:56.77,06:02.66,08:05.57,113.77000000000001,236.77,362.66,485.57,1,→Semi-Final
2012,34,w2x,予選H組,2,一橋大学A,01:59.38,04:07.22,06:15.78,08:25.09,119.38,247.22,375.78,505.09,2,
2012,34,w2x,予選H組,6,東京経済大学C,02:01.23,04:13.32,06:25.99,08:35.07,121.23,253.32,385.99,515.07,3,
2012,34,w2x,予選H組,4,今治西高校A,02:07.31,04:23.11,06:36.86,08:48.93,127.31,263.11,396.86,528.93,4,
2012,34,w2x,予選H組,5,成蹊大学,02:06.88,04:21.50,06:37.25,08:49.70,126.88,261.5,397.25,529.7,5,
