year,boat_type,section_code,race_number,order,team,500m,1000m,1500m,2000m,lane,qualify
2000,m2x,予選D組,22,3,金沢大学,01:52.55,03:50.72,05:50.70,07:50.50,5,
2000,m2x,予選D組,22,4,一橋大学,01:49.92,03:45.25,05:48.00,07:50.87,1,
2000,m2x,予選D組,22,5,静岡大学,01:54.77,03:54.10,05:55.15,07:57.82,2,
2000,m2x,予選D組,22,6,甲南大学,01:55.63,03:59.15,06:06.66,08:15.41,4,
2000,m2x,予選E組,23,1,東京経済大学,01:53.46,03:49.01,05:46.54,07:45.50,4,->Semi-Final
2000,m2x,予選E組,23,2,立教大学,01:52.18,03:51.19,05:50.54,07:51.86,1,
2000,m2x,予選E組,23,3,青山学院大学,01:58.27,03:58.95,06:00.77,07:57.66,2,
2000,m2x,予選E組,23,4,東京都立大学,01:54.61,03:54.66,05:57.85,08:00.14,3,
2000,m2x,予選E組,23,5,成城大学,01:59.21,04:00.60,06:04.88,08:08.49,5,
2000,m2x,予選E組,23,6,東京大学,01:57.78,04:00.10,06:05.58,08:09.23,6,
2000,m2x,予選F組,24,1,明治大学,01:44.69,03:38.24,05:30.52,07:22.46,4,->Semi-Final
2000,m2x,予選F組,24,2,静岡産業大学,01:57.54,04:01.09,06:04.09,08:08.38,2,
2000,m2x,予選F組,24,3,石巻専修大学,02:03.47,04:09.54,06:13.18,08:18.00,3,
2000,m2x,予選F組,24,4,愛知工業大学,02:00.85,04:10.44,06:20.61,08:28.92,5,
2000,m2x,予選F組,24,5,大同工業大学,02:15.47,04:34.64,06:54.90,09:12.92,1,
2000,m2x,予選F組,24,6,創価大学,02:13.91,04:40.64,07:10.58,09:43.79,6,
2000,m2x,予選G組,25,1,茨城大学,01:48.62,03:37.91,05:33.16,07:32.96,3,->Semi-Final
2000,m2x,予選G組,25,2,東北学院大学,01:46.68,03:38.11,05:36.07,07:36.31,4,
2000,m2x,予選G組,25,3,神戸大学,01:51.42,03:49.01,05:52.96,07:52.86,1,
2000,m2x,予選G組,25,4,富山国際大学,01:53.55,03:51.50,05:54.98,07:59.16,5,
2000,m2x,予選G組,25,5,広島修道大学,01:55.12,03:54.35,06:03.43,08:11.58,2,
2000,m2x,予選H組,26,1,東京医科歯科大学,01:52.13,03:15.75,05:44.95,07:38.22,5,->Semi-Final
2000,m2x,予選H組,26,2,香川大学,01:52.48,03:19.29,05:52.16,07:47.35,2,
2000,m2x,予選H組,26,3,龍谷大学,01:55.70,03:22.75,05:52.93,07:47.91,4,
2000,m2x,予選H組,26,4,追手門学院大学,01:54.87,03:24.07,05:57.48,07:53.26,3,
2000,m2x,予選H組,26,5,東京農業大学,02:03.23,03:44.81,06:33.86,08:43.16,1,
2000,m2x,敗復A組,78,1,金沢大学,01:47.30,03:39.04,05:28.76,07:17.58,4,->Semi-Final
2000,m2x,敗復A組,78,2,新潟大学,01:49.74,03:42.82,05:35.78,07:25.11,2,
2000,m2x,敗復A組,78,3,龍谷大学,01:48.57,03:41.09,05:34.54,07:25.75,3,
2000,m2x,敗復A組,78,4,鳥取大学,01:51.57,03:48.10,05:46.54,07:46.83,5,
2000,m2x,敗復B組,79,1,一橋大学,01:44.16,03:33.30,05:25.66,07:18.50,4,->Semi-Final
2000,m2x,敗復B組,79,2,香川大学,01:48.36,03:41.24,05:33.64,07:26.34,3,
2000,m2x,敗復B組,79,3,広島修道大学,01:52.31,03:48.18,05:42.25,07:33.40,5,
2000,m2x,敗復B組,79,4,東京大学,01:51.24,03:50.09,05:48.91,07:41.88,2,
2000,m2x,敗復C組,80,1,日本医科大学,01:46.06,03:32.56,05:21.20,07:12.10,3,->Semi-Final
2000,m2x,敗復C組,80,2,立教大学,01:43.84,03:32.29,05:24.47,07:16.86,4,
2000,m2x,敗復C組,80,3,甲南大学,01:49.31,03:42.86,05:38.12,07:34.50,5,
2000,m2x,敗復C組,80,4,成城大学,01:50.46,03:43.79,05:43.90,07:49.43,2,
