,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
90,2015,全日本大学選手権大会,125,m4+,敗復H組,3,富山国際大学,01:38.84,03:23.98,05:11.28,06:57.67,1,3
91,2015,全日本大学選手権大会,125,m4+,敗復H組,4,九州大学,01:41.41,03:27.37,05:16.96,07:03.81,2,4
92,2015,全日本大学選手権大会,125,m4+,敗復H組,2,成蹊大学,01:45.47,03:34.79,05:21.78,07:09.73,3,2
93,2015,全日本大学選手権大会,125,m4+,敗復H組,1,関西大学,01:45.81,03:37.92,05:30.60,07:24.18,4,1
94,2015,全日本大学選手権大会,125,m4+,敗復H組,5,名古屋工業大学,01:47.78,03:41.34,05:36.65,07:30.40,5,5
95,2015,全日本大学選手権大会,125,m4+,敗復H組,6,,,,,,,6
96,2015,全日本大学選手権大会,171,m4+,準決A組,3,日本大学,01:44.21,03:30.83,05:20.86,07:03.54,1,3
97,2015,全日本大学選手権大会,171,m4+,準決A組,5,山口大学,01:44.81,03:31.77,05:18.31,07:04.19,2,5
98,2015,全日本大学選手権大会,171,m4+,準決A組,2,鳥取大学,01:47.49,03:36.95,05:25.43,07:09.84,3,2
99,2015,全日本大学選手権大会,171,m4+,準決A組,4,法政大学,01:47.89,03:36.59,05:25.09,07:14.97,4,4
100,2015,全日本大学選手権大会,171,m4+,準決A組,1,,,,,,,1
101,2015,全日本大学選手権大会,171,m4+,準決A組,6,,,,,,,6
102,2015,全日本大学選手権大会,172,m4+,準決B組,3,一橋大学,01:44.76,03:29.94,05:15.53,07:00.51,1,3
103,2015,全日本大学選手権大会,172,m4+,準決B組,2,富山国際大学,01:42.41,03:28.35,05:16.07,07:04.83,2,2
104,2015,全日本大学選手権大会,172,m4+,準決B組,5,学習院大学,01:46.05,03:32.99,05:22.55,07:06.64,3,5
105,2015,全日本大学選手権大会,172,m4+,準決B組,4,熊本大学,01:43.64,03:32.18,05:22.40,07:13.35,4,4
106,2015,全日本大学選手権大会,172,m4+,準決B組,1,,,,,,,1
107,2015,全日本大学選手権大会,172,m4+,準決B組,6,,,,,,,6
108,2015,全日本大学選手権大会,173,m4+,準決C組,4,明治大学,01:42.08,03:28.37,05:16.26,06:59.67,1,4
109,2015,全日本大学選手権大会,173,m4+,準決C組,3,東海大学,01:44.34,03:31.45,05:17.66,07:02.68,2,3
110,2015,全日本大学選手権大会,173,m4+,準決C組,2,立教大学,01:45.66,03:33.55,05:21.34,07:08.62,3,2
111,2015,全日本大学選手権大会,173,m4+,準決C組,5,岡山大学,01:43.96,03:30.98,05:21.58,07:09.42,4,5
112,2015,全日本大学選手権大会,173,m4+,準決C組,1,,,,,,,1
113,2015,全日本大学選手権大会,173,m4+,準決C組,6,,,,,,,6
114,2015,全日本大学選手権大会,174,m4+,準決D組,4,仙台大学,01:41.54,03:27.69,05:17.34,07:05.06,1,4
115,2015,全日本大学選手権大会,174,m4+,準決D組,5,大阪府立大学,01:43.19,03:30.26,05:19.18,07:07.71,2,5
116,2015,全日本大学選手権大会,174,m4+,準決D組,3,日本体育大学,01:42.75,03:32.36,05:23.74,07:14.59,3,3
117,2015,全日本大学選手権大会,174,m4+,準決D組,2,中央大学,01:41.07,03:31.45,05:25.69,07:16.10,4,2
118,2015,全日本大学選手権大会,174,m4+,準決D組,1,,,,,,,1
119,2015,全日本大学選手権大会,174,m4+,準決D組,6,,,,,,,6
120,2015,全日本大学選手権大会,199,m4+,順決,3,東海大学,01:37.04,03:19.83,05:02.36,06:41.79,1,3
121,2015,全日本大学選手権大会,199,m4+,順決,2,富山国際大学,01:39.13,03:21.98,05:04.82,06:43.52,2,2
122,2015,全日本大学選手権大会,199,m4+,順決,4,山口大学,01:40.18,03:23.33,05:05.00,06:44.64,3,4
