,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
117,2011,全日本大学選手権大会,165,m4+,準決D組,5,一橋大学,01:43.09,03:29.78,05:19.03,07:05.77,4,
118,2011,全日本大学選手権大会,165,m4+,準決D組,1,,,,,,,
119,2011,全日本大学選手権大会,165,m4+,準決D組,6,,,,,,,
120,2011,全日本大学選手権大会,190,m4+,順決,3,山口大学,01:41.19,03:25.01,05:12.08,06:57.58,1,
121,2011,全日本大学選手権大会,190,m4+,順決,2,中央大学,01:38.61,03:24.56,05:14.00,06:58.31,2,
122,2011,全日本大学選手権大会,190,m4+,順決,5,東海大学,01:42.62,03:28.39,05:17.06,07:03.78,3,
123,2011,全日本大学選手権大会,190,m4+,順決,4,京都大学,01:40.36,03:27.34,05:16.84,07:04.15,4,
124,2011,全日本大学選手権大会,190,m4+,順決,1,,,,,,,
125,2011,全日本大学選手権大会,190,m4+,順決,6,,,,,,,
126,2011,全日本大学選手権大会,200,m4+,決勝,3,日本大学,01:38.37,03:24.54,05:13.28,07:03.78,1,
127,2011,全日本大学選手権大会,200,m4+,決勝,2,仙台大学,01:41.24,03:29.94,05:18.44,07:06.10,2,
128,2011,全日本大学選手権大会,200,m4+,決勝,5,明治大学,01:42.30,03:30.46,05:19.04,07:07.48,3,
129,2011,全日本大学選手権大会,200,m4+,決勝,4,富山国際大学,01:44.46,03:33.20,05:20.96,07:08.25,4,
130,2011,全日本大学選手権大会,200,m4+,決勝,1,,,,,,,
131,2011,全日本大学選手権大会,200,m4+,決勝,6,,,,,,,
132,2011,全日本大学選手権大会,29,m2x,予選A組,2,東京海洋大学,01:41.80,03:28.92,05:16.80,07:01.92,1,→Semi-Final
133,2011,全日本大学選手権大会,29,m2x,予選A組,6,山口大学,01:41.26,03:29.73,05:24.24,07:22.10,2,
134,2011,全日本大学選手権大会,29,m2x,予選A組,4,首都大学東京,01:48.64,03:43.99,05:38.84,07:29.84,3,
135,2011,全日本大学選手権大会,29,m2x,予選A組,1,東京工業大学,01:52.42,03:47.86,05:42.68,07:33.74,4,
136,2011,全日本大学選手権大会,29,m2x,予選A組,5,南山大学,01:48.27,03:43.79,05:39.94,07:37.29,5,
137,2011,全日本大学選手権大会,29,m2x,予選A組,3,金沢大学,01:58.09,04:04.15,06:18.04,08:24.62,6,
138,2011,全日本大学選手権大会,30,m2x,予選B組,3,富山国際大学,01:39.81,03:24.53,05:11.14,07:00.76,1,→Semi-Final
139,2011,全日本大学選手権大会,30,m2x,予選B組,1,仙台大学,01:44.81,03:32.24,05:21.41,07:09.17,2,
140,2011,全日本大学選手権大会,30,m2x,予選B組,4,東海大学,01:43.49,03:36.48,05:30.79,07:21.38,3,
141,2011,全日本大学選手権大会,30,m2x,予選B組,5,千葉大学,01:48.53,03:41.13,05:32.69,07:22.92,4,
142,2011,全日本大学選手権大会,30,m2x,予選B組,6,関西学院大学,01:47.63,03:44.52,05:44.36,07:45.54,5,
143,2011,全日本大学選手権大会,30,m2x,予選B組,2,東京農業大学網走,01:52.73,03:51.99,05:52.19,07:52.21,6,
144,2011,全日本大学選手権大会,31,m2x,予選C組,6,日本体育大学,01:40.56,03:26.59,05:13.16,06:59.59,1,→Semi-Final
145,2011,全日本大学選手権大会,31,m2x,予選C組,2,京都大学,01:41.32,03:30.71,05:21.14,07:09.90,2,
146,2011,全日本大学選手権大会,31,m2x,予選C組,1,早稲田大学理工漕艇部,01:49.13,03:43.72,05:40.15,07:36.79,3,
147,2011,全日本大学選手権大会,31,m2x,予選C組,3,立教大学,01:51.18,03:46.95,05:46.30,07:42.79,4,
148,2011,全日本大学選手権大会,31,m2x,予選C組,5,名古屋大学,01:54.06,03:56.21,05:57.15,07:57.44,5,
149,2011,全日本大学選手権大会,31,m2x,予選C組,4,東北学院大学,,,,,,棄権
150,2011,全日本大学選手権大会,32,m2x,予選D組,4,立命館大学,01:36.54,03:21.31,05:09.09,06:56.21,1,→Semi-Final
151,2011,全日本大学選手権大会,32,m2x,予選D組,1,中央大学,01:47.07,03:41.13,05:37.53,07:29.94,2,
152,2011,全日本大学選手権大会,32,m2x,予選D組,5,学習院大学,01:51.87,03:47.58,05:44.85,07:39.95,3,
153,2011,全日本大学選手権大会,32,m2x,予選D組,3,岐阜経済大学,01:48.82,03:46.84,05:47.93,07:49.11,4,
154,2011,全日本大学選手権大会,32,m2x,予選D組,2,大阪府立大学,01:53.39,03:53.80,05:58.52,07:59.34,5,
155,2011,全日本大学選手権大会,32,m2x,予選D組,6,,,,,,,
156,2011,全日本大学選手権大会,33,m2x,予選E組,1,東京経済大学,01:38.27,03:21.29,05:06.44,06:53.66,1,→Semi-Final
157,2011,全日本大学選手権大会,33,m2x,予選E組,3,明治大学,01:38.99,03:25.87,05:17.55,07:06.91,2,
158,2011,全日本大学選手権大会,33,m2x,予選E組,2,東京外国語大学,01:41.08,03:26.62,05:17.28,07:08.85,3,
159,2011,全日本大学選手権大会,33,m2x,予選E組,5,筑波大学,01:39.84,03:27.27,05:18.61,07:11.74,4,
160,2011,全日本大学選手権大会,33,m2x,予選E組,4,東京医科歯科大学,01:50.18,03:46.70,05:44.80,07:45.99,5,
161,2011,全日本大学選手権大会,33,m2x,予選E組,6,,,,,,,
162,2011,全日本大学選手権大会,34,m2x,予選F組,3,龍谷大学,01:42.32,03:25.37,05:10.97,06:57.68,1,→Semi-Final
163,2011,全日本大学選手権大会,34,m2x,予選F組,2,日本大学,01:39.63,03:30.69,05:24.74,07:19.45,2,
164,2011,全日本大学選手権大会,34,m2x,予選F組,4,一橋大学,01:45.62,03:36.94,05:30.65,07:20.84,3,
165,2011,全日本大学選手権大会,34,m2x,予選F組,5,小樽商科大学,01:47.85,03:41.47,05:38.55,07:36.04,4,
166,2011,全日本大学選手権大会,34,m2x,予選F組,1,広島大学,01:57.81,03:58.61,06:03.55,08:05.50,5,
167,2011,全日本大学選手権大会,34,m2x,予選F組,6,,,,,,,
168,2011,全日本大学選手権大会,35,m2x,予選G組,5,東北大学,01:43.61,03:30.83,05:18.79,07:07.29,1,→Semi-Final
169,2011,全日本大学選手権大会,35,m2x,予選G組,3,甲南大学,01:45.00,03:33.48,05:23.20,07:14.78,2,
170,2011,全日本大学選手権大会,35,m2x,予選G組,2,東京大学,01:42.94,03:31.19,05:24.78,07:19.04,3,
171,2011,全日本大学選手権大会,35,m2x,予選G組,1,大阪大学,01:51.20,03:47.27,05:39.07,07:32.18,4,
172,2011,全日本大学選手権大会,35,m2x,予選G組,4,新潟大学,01:47.58,03:43.07,05:39.60,07:37.42,5,
173,2011,全日本大学選手権大会,35,m2x,予選G組,6,,,,,,,
174,2011,全日本大学選手権大会,36,m2x,予選H組,5,茨城大学,01:45.82,03:38.15,05:31.04,07:20.26,1,→Semi-Final
