,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
79,2000,intercollege,70,m4+,敗復F組,4,防衛大学校,01:42.38,03:30.40,05:18.54,07:04.41,2,
80,2000,intercollege,70,m4+,敗復F組,2,島根大学,01:44.77,03:32.52,05:21.64,07:07.50,3,
81,2000,intercollege,70,m4+,敗復F組,5,福島大学,01:51.06,03:45.41,05:37.44,07:33.73,4,
82,2000,intercollege,70,m4+,敗復F組,1,福山大学,01:50.66,03:48.70,05:48.76,07:48.03,5,
83,2000,intercollege,70,m4+,敗復F組,6,,,,,,,
84,2000,intercollege,71,m4+,敗復G組,3,立教大学,01:40.45,03:23.29,05:09.01,06:52.41,1,->Semi-Final
85,2000,intercollege,71,m4+,敗復G組,4,日本大学,01:39.82,03:25.81,05:11.55,06:55.44,2,
86,2000,intercollege,71,m4+,敗復G組,2,成城大学,01:43.48,03:28.36,05:14.66,07:00.99,3,
87,2000,intercollege,71,m4+,敗復G組,5,杏林大学,01:50.73,03:47.31,05:45.09,07:37.84,4,
88,2000,intercollege,71,m4+,敗復G組,1,名古屋市立大学,01:51.93,03:46.50,05:43.99,07:38.40,5,
89,2000,intercollege,71,m4+,敗復G組,6,,,,,,,
90,2000,intercollege,72,m4+,敗復H組,3,法政大学,01:37.20,03:19.51,05:06.93,06:55.48,1,->Semi-Final
91,2000,intercollege,72,m4+,敗復H組,4,滋賀大学経済学部,01:41.41,03:29.50,05:19.84,07:10.65,2,
92,2000,intercollege,72,m4+,敗復H組,2,鳥取大学,01:42.16,03:30.59,05:23.43,07:14.44,3,
93,2000,intercollege,72,m4+,敗復H組,5,石巻専修大学,01:48.86,03:40.20,05:31.36,07:23.35,4,
94,2000,intercollege,72,m4+,敗復H組,1,静岡大学,01:46.78,03:37.28,05:30.66,07:25.08,5,
95,2000,intercollege,72,m4+,敗復H組,6,,,,,,,
96,2000,intercollege,129,m4+,準決A組,3,龍谷大学,01:44.48,03:30.74,05:15.17,06:57.19,1,->Final A
97,2000,intercollege,129,m4+,準決A組,2,立教大学,01:45.18,03:32.09,05:16.74,07:00.20,2,->Final B
98,2000,intercollege,129,m4+,準決A組,5,埼玉大学,01:46.13,03:32.50,05:20.68,07:08.25,3,
99,2000,intercollege,129,m4+,準決A組,4,東北大学,01:43.44,03:30.58,05:20.91,07:11.54,4,
100,2000,intercollege,129,m4+,準決A組,1,,,,,,,
101,2000,intercollege,129,m4+,準決A組,6,,,,,,,
102,2000,intercollege,130,m4+,準決B組,3,明治大学,01:42.46,03:28.18,05:15.06,06:57.58,1,->Final A
103,2000,intercollege,130,m4+,準決B組,2,法政大学,01:41.46,03:26.64,05:15.30,07:00.26,2,->Final B
104,2000,intercollege,130,m4+,準決B組,4,東海大学,01:45.37,03:33.57,05:21.06,07:07.23,3,
105,2000,intercollege,130,m4+,準決B組,5,成蹊大学,01:44.38,03:31.70,05:22.26,07:11.95,4,
106,2000,intercollege,130,m4+,準決B組,1,,,,,,,
107,2000,intercollege,130,m4+,準決B組,6,,,,,,,
108,2000,intercollege,131,m4+,準決C組,3,東京経済大学,01:41.61,03:30.46,05:18.43,07:03.41,1,->Final A
109,2000,intercollege,131,m4+,準決C組,5,北海道大学,01:40.42,03:30.29,05:21.21,07:09.44,2,->Final B
