,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
85,2013,freshman,46,w4x+,予選C組,3,京都大学,01:52.26,03:50.61,05:46.91,07:42.66,2,
86,2013,freshman,46,w4x+,予選C組,2,岡山大学,01:54.40,03:56.51,05:59.44,07:59.69,3,
87,2013,freshman,46,w4x+,予選C組,1,,,,,,,
88,2013,freshman,46,w4x+,予選C組,5,,,,,,,
89,2013,freshman,46,w4x+,予選C組,6,,,,,,,
90,2013,freshman,47,w4x+,予選D組,3,早稲田大学,01:43.76,03:33.42,05:24.46,07:13.98,1,→Semi-Final
91,2013,freshman,47,w4x+,予選D組,2,法政大学A,01:46.75,03:38.29,05:31.01,07:24.30,2,
92,2013,freshman,47,w4x+,予選D組,4,大阪市立大学,01:57.75,03:59.19,05:59.48,07:59.53,3,
93,2013,freshman,47,w4x+,予選D組,1,,,,,,,
94,2013,freshman,47,w4x+,予選D組,5,,,,,,,
95,2013,freshman,47,w4x+,予選D組,6,,,,,,,
96,2013,freshman,89,w4x+,敗復A組,3,龍谷大学,01:54.13,03:57.45,06:03.58,08:05.74,1,→Semi-Final
97,2013,freshman,89,w4x+,敗復A組,4,京都大学,01:56.83,04:02.73,06:13.24,08:19.62,2,→Semi-Final
98,2013,freshman,89,w4x+,敗復A組,2,岡山大学,01:59.81,04:09.73,06:22.45,08:34.14,3,
99,2013,freshman,89,w4x+,敗復A組,5,山口大学,02:01.84,04:16.72,06:33.89,08:48.10,4,
100,2013,freshman,89,w4x+,敗復A組,1,,,,,,,
101,2013,freshman,89,w4x+,敗復A組,6,,,,,,,
102,2013,freshman,90,w4x+,敗復B組,3,法政大学A,01:54.09,03:53.60,05:55.48,07:54.77,1,→Semi-Final
103,2013,freshman,90,w4x+,敗復B組,4,浦和第一女子高校,02:01.88,04:06.50,06:12.54,08:17.01,2,→Semi-Final
104,2013,freshman,90,w4x+,敗復B組,2,大阪市立大学,02:01.05,04:10.07,06:22.44,08:32.71,3,
105,2013,freshman,90,w4x+,敗復B組,1,東北大学,02:06.69,04:19.64,06:33.68,08:44.27,4,
106,2013,freshman,90,w4x+,敗復B組,5,今治西高校,02:07.39,04:24.21,06:39.85,08:51.27,5,
107,2013,freshman,90,w4x+,敗復B組,6,,,,,,,
108,2013,freshman,114,w4x+,準決A組,3,早稲田大学,01:45.64,03:35.75,05:31.32,07:28.53,1,→Final A
109,2013,freshman,114,w4x+,準決A組,2,法政大学A,01:51.70,03:44.42,05:38.91,07:36.33,2,→Final A
110,2013,freshman,114,w4x+,準決A組,4,法政大学B,01:54.43,03:49.04,05:46.86,07:45.53,3,→Final B
111,2013,freshman,114,w4x+,準決A組,5,京都大学,01:59.51,03:56.41,05:53.95,07:53.61,4,→Final B
112,2013,freshman,114,w4x+,準決A組,1,,,,,,,
113,2013,freshman,114,w4x+,準決A組,6,,,,,,,
114,2013,freshman,115,w4x+,準決B組,3,明治大学,01:45.63,03:37.62,05:30.72,07:22.37,1,→Final A
115,2013,freshman,115,w4x+,準決B組,2,龍谷大学,01:48.19,03:40.32,05:33.18,07:25.40,2,→Final A
116,2013,freshman,115,w4x+,準決B組,4,日本体育大学,01:51.34,03:42.25,05:35.30,07:27.92,3,→Final B
117,2013,freshman,115,w4x+,準決B組,5,浦和第一女子高校,01:52.38,03:49.94,05:46.17,07:43.62,4,→Final B
118,2013,freshman,115,w4x+,準決B組,1,,,,,,,
119,2013,freshman,115,w4x+,準決B組,6,,,,,,,
120,2013,freshman,128,w4x+,順決,3,日本体育大学,01:52.31,03:46.09,05:40.38,07:32.51,1,
121,2013,freshman,128,w4x+,順決,5,京都大学,01:52.13,03:47.29,05:41.98,07:36.51,2,
122,2013,freshman,128,w4x+,順決,2,法政大学B,01:51.88,03:47.89,05:44.14,07:37.68,3,
123,2013,freshman,128,w4x+,順決,4,浦和第一女子高校,01:53.44,03:51.68,05:49.15,07:46.56,4,
124,2013,freshman,128,w4x+,順決,1,,,,,,,
125,2013,freshman,128,w4x+,順決,6,,,,,,,
126,2013,freshman,129,w4x+,決勝,2,早稲田大学,01:44.47,03:33.51,05:23.91,07:13.20,1,
127,2013,freshman,129,w4x+,決勝,3,明治大学,01:47.47,03:35.63,05:26.17,07:16.85,2,
128,2013,freshman,129,w4x+,決勝,4,龍谷大学,01:50.51,03:39.30,05:31.20,07:22.24,3,
129,2013,freshman,129,w4x+,決勝,5,法政大学A,01:48.80,03:41.45,05:31.84,07:23.21,4,
130,2013,freshman,129,w4x+,決勝,1,,,,,,,
131,2013,freshman,129,w4x+,決勝,6,,,,,,,
132,2013,freshman,24,m2x,予選A組,2,米子東高校,01:41.39,03:29.47,05:20.17,07:10.73,1,→Semi-Final
133,2013,freshman,24,m2x,予選A組,3,慶應義塾大学C,01:47.41,03:42.41,05:38.72,07:32.99,2,
134,2013,freshman,24,m2x,予選A組,5,東京海洋大学,01:50.79,03:45.86,05:42.53,07:38.62,3,
135,2013,freshman,24,m2x,予選A組,1,大阪府立大学,01:50.60,03:45.10,05:43.11,07:41.13,4,
136,2013,freshman,24,m2x,予選A組,4,名古屋大学B,01:51.87,03:52.50,05:56.49,07:59.00,5,
137,2013,freshman,24,m2x,予選A組,6,日本体育大学,,,,,,棄権
138,2013,freshman,25,m2x,予選B組,5,東京経済大学,01:38.27,03:25.12,05:13.10,07:00.63,1,→Semi-Final
139,2013,freshman,25,m2x,予選B組,1,富山国際大学A,01:39.09,03:24.49,05:14.82,07:07.75,2,
140,2013,freshman,25,m2x,予選B組,4,慶應義塾大学B,01:40.83,03:38.90,05:33.21,07:29.43,3,
141,2013,freshman,25,m2x,予選B組,6,一橋大学B,01:50.00,03:45.08,05:45.13,07:43.70,4,
142,2013,freshman,25,m2x,予選B組,2,成蹊大学B,01:54.33,03:53.98,05:56.56,07:56.81,5,
143,2013,freshman,25,m2x,予選B組,3,兵庫大学,,,,,,失格
144,2013,freshman,26,m2x,予選C組,5,山田高校A,01:37.23,03:23.78,05:12.71,07:00.38,1,→Semi-Final
145,2013,freshman,26,m2x,予選C組,2,東北大学,01:46.72,03:38.26,05:30.75,07:19.81,2,
146,2013,freshman,26,m2x,予選C組,3,関西学院大学,01:46.06,03:40.85,05:33.67,07:27.52,3,
147,2013,freshman,26,m2x,予選C組,6,金沢大学,01:44.88,03:40.56,05:38.42,07:35.75,4,
148,2013,freshman,26,m2x,予選C組,4,新潟大学B,01:53.10,03:54.02,05:54.79,07:54.42,5,
149,2013,freshman,26,m2x,予選C組,1,名古屋大学C,01:55.59,04:01.84,06:08.52,08:12.75,6,
150,2013,freshman,27,m2x,予選D組,5,吉田高校,01:37.05,03:23.48,05:11.22,06:58.28,1,→Semi-Final
151,2013,freshman,27,m2x,予選D組,2,愛媛大学,01:44.07,03:34.98,05:25.86,07:12.62,2,
152,2013,freshman,27,m2x,予選D組,6,千葉大学,01:44.42,03:33.01,05:22.20,07:13.17,3,
153,2013,freshman,27,m2x,予選D組,1,茨城大学,01:46.04,03:37.15,05:28.38,07:21.10,4,
154,2013,freshman,27,m2x,予選D組,4,慶應義塾大学A,01:41.07,03:34.78,05:31.69,07:28.27,5,
155,2013,freshman,27,m2x,予選D組,3,小樽商科大学,01:44.87,03:39.53,05:38.76,07:39.35,6,
156,2013,freshman,28,m2x,予選E組,6,岐阜経済大学,01:40.82,03:29.09,05:18.84,07:07.33,1,→Semi-Final
157,2013,freshman,28,m2x,予選E組,1,成蹊大学A,01:46.98,03:38.79,05:30.67,07:20.36,2,
158,2013,freshman,28,m2x,予選E組,3,新潟大学A,01:44.28,03:37.10,05:30.42,07:21.19,3,
159,2013,freshman,28,m2x,予選E組,4,長崎明誠高校,01:43.81,03:37.57,05:30.98,07:24.55,4,
160,2013,freshman,28,m2x,予選E組,5,清風高校,01:48.55,03:43.08,05:36.46,07:29.11,5,
161,2013,freshman,28,m2x,予選E組,2,首都大学東京,01:50.15,03:46.35,05:43.65,07:38.58,6,
162,2013,freshman,29,m2x,予選F組,5,山田高校B,01:46.41,03:37.53,05:26.76,07:10.59,1,→Semi-Final
163,2013,freshman,29,m2x,予選F組,6,龍谷大学,01:39.15,03:27.73,05:20.63,07:13.36,2,
164,2013,freshman,29,m2x,予選F組,2,東京医科歯科大学,01:45.35,03:36.66,05:33.79,07:33.49,3,
165,2013,freshman,29,m2x,予選F組,3,名古屋大学A,01:48.04,03:46.61,05:49.36,07:48.71,4,
166,2013,freshman,29,m2x,予選F組,4,今治西高校B,01:49.16,03:47.36,05:49.55,07:51.53,5,
167,2013,freshman,29,m2x,予選F組,1,九州大学B,01:54.46,03:55.14,05:56.05,07:52.10,6,
